Codigo_PRTR,index,Nombre_del_complejo,Cantidad_total_atmosfera,Empresa_matriz,Municipio,Provincia,Longitud,Latitud,CNAE_2009,Actividad económica principal
8199,2114,MIGUEL ANGEL SANTOS REPISO (LOS ALAMARES) ,10.5,MIGUEL ANGEL SANTOS REPISO,Peñafiel,Valladolid,-4.119419,41.571153,Explotación de ganado porcino,
7850,2115,ES501020000033-CERDOS-FABARA ,10.5,VILLALBA S.C.,Fabara,Zaragoza,0.169818,41.17772,Explotación de ganado porcino,
4084,2116,ES442510000001-CERDOS-VILLAFRANCA DEL CAMPO ,10.5,PASCUAL ESTEBAN ANDRES,Villafranca del Campo,Teruel,-1.353516,40.713711,Explotación de ganado porcino,
2875,2117,ES502400000001-CERDOS-SÁSTAGO ,10.5,"HERMANOS PIÑOL RAMÓN,S.C.",Sástago,Zaragoza,-0.373542,41.284921,Explotación de ganado porcino,
1182,2118,LAVAL ,10.5,PARDO LOSA S.C.,Barbués,Huesca,-0.421821,41.983785,Explotación de ganado porcino,
8046,2119,EL SOBACO ,10.467,PORCINA DE BERLANGA,Berlanga,Badajoz,-5.792198,38.302062,Explotación de ganado porcino,
8756,2120,ES502080000009-CERDOS-PINA DE EBRO ,10.45,ABOS ROCHE MONTSERRAT,Pina de Ebro,Zaragoza,-0.502684,41.498967,Explotación de ganado porcino,
9197,2121,GRANJA MASCARELL ,10.449,"TECNO-ALIMENT, S.L.",Concha de Dalt,Lleida,0.938174,42.261126,Explotación de ganado porcino,
2800,2122,ES501810000004-CERDOS-MUEL ,10.425,LLOGRASA S.A.,Muel,Zaragoza,-1.102881,41.456651,Explotación de ganado porcino,
8652,2123,ANTONIA HERNÁNDEZ PALOMARES Y PEDRO LEANDRO CARRIÓN MADRID ,10.424,ANTONIA HERNÁNDEZ PALOMARES Y PEDRO LEANDRO CARRIÓN MADRID,Fuente Alamo de Murcia,Murcia,-1.3099,37.723424,Explotación de ganado porcino,
10096,2124,ES440500000006-CALAMOCHA ,10.4,"HERMANOS CAMPOS, S.C.",Calamocha,Teruel,-1.16,40.987,Explotación de ganado porcino,
